DateKey,Date,CampaignID,AdSetID,CreativeID,AudienceID,Spend,Impressions,Reach,Frequency,Clicks,LinkClicks,AddToCart,Purchases,Revenue
20260308,3/8/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,81.81,6999,3127,2.24,68,54,2,1,50.81
20260309,3/9/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,123.47,11362,2929,3.88,173,145,9,2,121.36
20260310,3/10/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,108.13,8223,2184,3.77,123,99,9,2,109.37
20260311,3/11/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,121.6,9963,5729,1.74,116,95,11,2,122.87
20260312,3/12/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,109.91,9293,4775,1.95,123,98,11,2,117.06
20260313,3/13/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,84.98,7705,1941,3.97,86,74,4,1,57.68
20260314,3/14/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,70.92,5582,1573,3.55,59,49,6,1,54.25
20260315,3/15/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,108.26,9484,3923,2.42,122,108,10,2,111.15
20260316,3/16/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,87.48,7042,2361,2.98,86,77,5,2,105.43
20260317,3/17/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,114.41,10371,3117,3.33,126,101,4,1,59.02
20260318,3/18/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,97.22,9332,3697,2.52,117,106,8,2,101
20260319,3/19/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,93.82,7129,2853,2.5,69,56,4,1,51.91
20260320,3/20/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,450.07,33246,9079,3.66,410,368,37,9,576.75
20260321,3/21/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,393.41,36516,9503,3.84,320,254,13,4,194.71
20260322,3/22/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,323.47,27815,9537,2.92,287,247,25,5,296.95
20260323,3/23/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,358.99,30867,8882,3.48,373,323,35,9,580.32
20260324,3/24/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,229.8,19724,10770,1.83,202,177,20,4,259.38
20260325,3/25/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,574.49,48061,15181,3.17,587,520,37,10,649.04
20260326,3/26/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,69.74,5849,1584,3.69,68,55,4,1,67.35
20260327,3/27/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,82.22,6198,1795,3.45,57,44,5,1,48.1
20260328,3/28/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,96.78,9297,5512,1.69,112,88,11,2,101.01
20260329,3/29/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,122.62,10991,5356,2.05,95,83,8,2,103.74
20260330,3/30/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,73.9,5883,2090,2.81,75,66,7,2,109.09
20260331,3/31/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,98.53,9092,4229,2.15,97,88,2,1,47.17
20260401,4/1/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,120.82,11298,6799,1.66,127,102,3,1,51.12
20260402,4/2/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,63.41,5496,2931,1.88,54,47,3,1,57.49
20260403,4/3/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,85.97,6688,3648,1.83,72,59,3,1,67.79
20260404,4/4/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,68.17,5422,1444,3.75,61,54,1,0,0
20260405,4/5/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,96.92,7757,4136,1.88,78,70,6,1,58.15
20260406,4/6/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,118.99,9879,5602,1.76,113,88,4,1,64.4
20260407,4/7/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,62.85,5223,2660,1.96,52,43,6,1,61.3
20260408,4/8/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,73.93,7004,2046,3.42,78,69,2,1,53.25
20260409,4/9/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,109.97,9500,3524,2.7,87,69,4,1,67.87
20260410,4/10/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,131.67,11590,3810,3.04,101,85,5,1,58.21
20260411,4/11/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,72.53,7002,2309,3.03,53,45,1,0,0
20260412,4/12/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,135.45,12239,5339,2.29,93,75,10,2,123.04
20260413,4/13/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,130.34,11710,3402,3.44,120,104,10,2,125.55
20260414,4/14/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,112.49,10378,3229,3.21,105,96,8,3,147.37
20260415,4/15/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,67.35,4925,1777,2.77,48,38,0,0,0
20260416,4/16/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,83.8,6850,2366,2.9,72,64,6,1,50.29
20260417,4/17/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,124.94,9707,3361,2.89,109,89,5,1,51.24
20260418,4/18/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,118.65,9554,2653,3.6,71,58,4,1,65.41
20260419,4/19/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,126.61,12365,3349,3.69,114,101,10,2,106.95
20260120,1/20/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,139.71,12121,8055,1.5,178,156,15,4,245.35
20260121,1/21/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,74.27,7207,2320,3.11,93,74,5,1,57.33
20260122,1/22/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,65.19,5305,3406,1.56,80,68,5,1,60
20260123,1/23/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,85.77,6866,2458,2.79,87,76,9,2,128.2
20260124,1/24/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,95.22,8873,2597,3.42,106,89,5,1,64.38
20260125,1/25/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,118.69,10523,2923,3.6,117,101,7,2,111.54
20260126,1/26/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,90.71,7399,2495,2.97,111,89,6,2,124.31
20260127,1/27/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,106.92,8411,2333,3.61,142,126,10,2,131.9
20260128,1/28/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,74.89,5721,1516,3.77,81,68,4,1,66.64
20260129,1/29/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,122.42,11971,7157,1.67,141,114,6,2,135.59
20260130,1/30/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,64.56,5756,1593,3.61,74,60,4,1,56.19
20260131,1/31/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,81.45,7567,2993,2.53,107,84,3,1,58.46
20260201,2/1/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,87.79,6532,1829,3.57,65,56,5,1,55.41
20260202,2/2/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,123.02,9882,3715,2.66,138,126,8,2,118.37
20260203,2/3/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,137.76,11118,3464,3.21,145,115,7,2,97.41
20260204,2/4/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,103.61,7546,4427,1.7,93,77,4,1,58.71
20260205,2/5/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,96.66,8092,3053,2.65,96,87,9,2,131.43
20260206,2/6/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,119.94,10665,5323,2,163,129,11,2,128.1
20260207,2/7/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,80.69,7476,3926,1.9,83,73,3,1,61.26
20260208,2/8/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,80.44,5911,2679,2.21,72,63,4,1,54.31
20260209,2/9/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,91.26,6980,3473,2.01,89,75,2,1,67.97
20260210,2/10/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,101.87,9067,2422,3.74,135,116,15,3,153.18
20260211,2/11/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,101.62,8603,2173,3.96,117,93,8,2,105.68
20260212,2/12/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,71.26,6521,3816,1.71,75,67,3,1,60.29
20260213,2/13/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,130.59,9974,4322,2.31,131,119,9,2,125.41
20260214,2/14/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,139.77,10181,5029,2.02,124,98,5,2,129.71
20260215,2/15/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,90.32,6590,1854,3.55,70,57,2,1,57.12
20260216,2/16/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,96.74,8421,4901,1.72,109,97,5,2,98.47
20260217,2/17/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,117.53,10034,4214,2.38,150,132,10,2,120.82
20260218,2/18/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,127.32,10701,7088,1.51,163,141,9,2,107.36
20260219,2/19/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,114.53,10603,3811,2.78,143,131,7,2,124.04
20260220,2/20/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,84.42,7699,2218,3.47,79,64,4,1,63.6
20260221,2/21/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,113.2,10164,2775,3.66,131,114,6,2,113.76
20260222,2/22/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,103.73,8966,4075,2.2,117,93,3,1,66.95
20260223,2/23/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,128.67,11435,3945,2.9,165,146,12,4,241.68
20260224,2/24/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,110.26,9099,5943,1.53,118,99,5,2,104.14
20260225,2/25/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,97.5,8640,2379,3.63,110,90,6,1,66.61
20260226,2/26/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,113.42,9194,3573,2.57,130,104,3,1,53.03
20260227,2/27/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,81.42,6243,2219,2.81,78,68,3,1,62.98
20260228,2/28/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,62.61,4698,1367,3.44,41,37,1,0,0
20260301,3/1/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,108.15,8063,2526,3.19,83,71,3,1,60.82
20260302,3/2/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,70.54,6387,2309,2.77,84,76,5,1,63.11
20260303,3/3/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,110.73,10590,2695,3.93,113,93,7,2,105.68
20260304,3/4/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,86.51,7248,1993,3.64,74,64,3,1,58.56
20260305,3/5/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,63.96,4845,3007,1.61,64,52,4,1,55.48
20260306,3/6/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,82.23,6257,2288,2.73,66,59,6,1,65.98
20260307,3/7/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,116.18,8434,2792,3.02,73,59,3,1,62.46
20260308,3/8/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,84.75,6437,1801,3.57,76,68,6,1,62.54
20260309,3/9/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,63.24,4741,1861,2.55,48,41,4,1,49.41
20260310,3/10/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,120.09,11486,3087,3.72,108,89,8,2,121.94
20260311,3/11/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,107.9,8985,2392,3.76,86,68,3,1,49.4
20260312,3/12/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,65.32,5388,2156,2.5,51,39,0,0,0
20260313,3/13/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,132.81,10131,3934,2.58,99,83,5,2,123.97
20260314,3/14/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,113.84,10171,3449,2.95,91,81,6,1,56.65
20260315,3/15/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,120.75,11438,4115,2.78,127,99,5,2,116.64
20260316,3/16/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,73.25,5848,1891,3.09,52,46,4,1,60.96
20260317,3/17/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,87.25,8342,2827,2.95,86,70,5,1,65.27
20260318,3/18/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,104.78,9904,4025,2.46,92,84,6,1,67.96
20260319,3/19/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,63.12,6121,3353,1.83,62,49,2,0,0
20260320,3/20/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,381.22,33008,8457,3.9,345,290,34,9,477.85
20260321,3/21/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,325.59,28497,7923,3.6,267,214,16,4,208.73
20260322,3/22/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,445.83,34960,14762,2.37,279,237,17,5,295.1
20260323,3/23/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,275.35,23337,7982,2.92,253,214,25,5,302.32
20260324,3/24/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,299.17,25740,7787,3.31,215,182,14,4,267.03
20260325,3/25/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,492.48,46154,11761,3.92,525,418,39,12,570.1
20260326,3/26/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,135.93,11283,3881,2.91,95,84,7,2,116.49
20260327,3/27/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,95.3,7697,2156,3.57,90,74,11,2,111.43
20260328,3/28/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,121.16,9878,4397,2.25,102,82,4,1,60.83
20260329,3/29/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,79.23,6997,2599,2.69,55,43,5,1,47.17
20260330,3/30/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,115.02,8984,2695,3.33,95,75,4,1,54.08
20260331,3/31/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,102.29,7834,2342,3.35,91,73,6,2,94.13
20260401,4/1/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,126.73,9850,3030,3.25,81,71,10,2,132.41
20260402,4/2/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,68.35,5873,3304,1.78,61,49,4,1,54.42
20260403,4/3/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,124.66,9158,2626,3.49,72,65,3,1,57.76
20260404,4/4/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,116.57,11229,5032,2.23,77,64,5,1,55.58
20260405,4/5/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,72.19,6469,2150,3.01,43,37,1,0,0
20260406,4/6/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,88.63,7071,2449,2.89,55,49,4,1,64.82
20260407,4/7/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,110.97,9174,4939,1.86,83,67,4,1,58.19
20260408,4/8/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,122.03,10917,4356,2.51,99,81,6,1,52.72
20260409,4/9/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,68.22,6269,2666,2.35,63,55,5,1,57.02
20260410,4/10/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,135.24,12882,3709,3.47,135,120,8,2,107.29
20260411,4/11/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,131.35,11167,3835,2.91,102,84,6,2,95.36
20260412,4/12/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,134.41,10152,2983,3.4,84,67,4,1,68
20260413,4/13/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,136.06,10688,3891,2.75,86,68,5,1,49.06
20260414,4/14/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,90.81,6819,1994,3.42,58,46,4,1,47.9
20260415,4/15/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,93.32,7091,2219,3.2,69,55,4,1,51.5
20260416,4/16/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,108.62,9643,3611,2.67,70,60,3,1,61.76
20260417,4/17/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,106.33,10120,2819,3.59,70,61,4,1,52.64
20260418,4/18/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,61.18,5289,2274,2.33,36,28,0,0,0
20260419,4/19/2026,CMP_001,ADS_0001,CRV_00002,AUD_001,132.49,11871,3455,3.44,94,84,3,1,53.61
20260120,1/20/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,121.83,10088,5161,1.95,207,165,14,3,164.52
20260121,1/21/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,94.84,8322,2898,2.87,133,117,10,2,122.67
20260122,1/22/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,130.34,10318,4570,2.26,179,160,12,4,222.02
20260123,1/23/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,65.26,5920,1489,3.98,90,76,8,2,119.12
20260124,1/24/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,79.13,6534,3284,1.99,103,89,8,2,103.42
20260125,1/25/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,71.26,5728,1843,3.11,94,80,6,1,50.36
20260126,1/26/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,124.79,9168,4907,1.87,143,126,8,3,144.36
20260127,1/27/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,60.63,4861,1255,3.87,79,63,9,2,109.09
20260128,1/28/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,136.98,11015,5753,1.91,213,188,16,5,238.58
20260129,1/29/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,95.64,8732,2774,3.15,117,105,15,3,166.11
20260130,1/30/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,68.71,5500,1447,3.8,90,75,9,2,113.69
20260131,1/31/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,74.09,6753,1731,3.9,78,60,4,1,67.51
20260201,2/1/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,101.72,7414,2802,2.65,116,93,10,2,103.71
20260202,2/2/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,122.51,8970,3114,2.88,159,143,13,3,165.13
20260203,2/3/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,124.38,11999,7628,1.57,216,173,19,4,224.73
20260204,2/4/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,98.47,7824,2812,2.78,105,86,11,2,115.27
20260205,2/5/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,98.52,7889,2274,3.47,104,81,4,1,54.61
20260206,2/6/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,80.08,6547,4173,1.57,97,84,2,1,68.19
20260207,2/7/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,127.19,9854,3335,2.95,121,110,8,2,135.32
20260208,2/8/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,94.93,7725,2137,3.61,106,93,5,1,66.63
20260209,2/9/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,92.08,7111,2382,2.99,124,112,9,3,159.77
20260210,2/10/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,62.62,5014,1396,3.59,73,59,5,1,64.59
20260211,2/11/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,86.58,6818,3064,2.23,116,101,11,2,95.5
20260212,2/12/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,134.48,11582,2945,3.93,180,153,11,4,191.81
20260213,2/13/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,78.09,6913,2228,3.1,96,77,5,1,62.85
20260214,2/14/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,93.28,7212,2971,2.43,99,89,8,2,101.49
20260215,2/15/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,132.16,10085,3976,2.54,159,140,11,3,165.38
20260216,2/16/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,120.31,11709,3897,3,158,134,13,3,157.76
20260217,2/17/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,83.72,6555,1836,3.57,107,84,7,2,134.55
20260218,2/18/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,115.78,9065,5747,1.58,131,119,13,3,162.99
20260219,2/19/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,64.15,5988,2061,2.91,77,67,2,1,62.75
20260220,2/20/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,135.77,11326,3277,3.46,157,126,14,3,141.31
20260221,2/21/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,69.95,5351,1867,2.87,71,63,3,1,64.73
20260222,2/22/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,137.36,13225,5308,2.49,167,147,12,4,235.64
20260223,2/23/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,70.54,5297,3158,1.68,65,53,6,1,57.78
20260224,2/24/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,85.03,6267,2824,2.22,101,92,6,2,117.65
20260225,2/25/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,84.54,7370,3084,2.39,109,90,8,2,104.37
20260226,2/26/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,66.71,5851,1840,3.18,88,69,3,1,60.87
20260227,2/27/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,110.58,10129,2674,3.79,136,120,7,2,134.92
20260228,2/28/2026,CMP_001,ADS_0001,CRV_00003,AUD_001,60.92,5153,1580,3.26,74,58,4,1,62.98
